lambda_slow,p_fast
0.479789513,0.377474966
0.82244928,0.213606394
0.87653174,0.299365635
0.455599974,0.309895712
0.143488274,0.245650444
0.727997672,0.160111782
0.428456687,0.20403107
0.268281913,0.286225317
0.369594004,0.210124072
0.610685271,0.280960787
0.575081658,0.278719031
0.42841566,0.268509782
0.421333755,0.272397166
0.274674918,0.322563939
0.178062459,0.360151152
0.360941877,0.231899378
1.31475215,0.291827075
0.172175344,0.349941559
0.232066059,0.22729182
0.223078336,0.297284744
0.174457901,0.231839124
0.427427918,0.282928359
0.585125951,0.241214045
0.725252497,0.199424947
0.465753939,0.275993975
0.375277559,0.180527734
0.7475151,0.287787633
0.293554903,0.219007898
0.633592461,0.321882821
0.627756668,0.335849341
0.231884475,0.211519024
0.102523616,0.269691754
0.248026988,0.260181353
0.517917518,0.208195178
0.355574959,0.362882787
0.462266515,0.228083459
0.469461051,0.337111284
0.127254846,0.318976585
0.486506812,0.297221531
0.390570976,0.29551038
0.920955154,0.202417591
0.877597066,0.212316868
0.216582456,0.273990856
0.199064991,0.1636009
0.303699019,0.190351661
0.375312783,0.210327855
0.363934456,0.358730709
0.299524576,0.261224156
0.360589961,0.263082981
0.627969275,0.233023492
0.159606172,0.193653842
0.227502207,0.284458346
0.266706122,0.274221828
0.133427679,0.260327439
1.33297725,0.186801836
0.599088236,0.385994031
0.181557498,0.218518826
0.054386189,0.267183422
0.617262553,0.250415255
0.217242123,0.291993101
0.350755141,0.282986306
0.141460803,0.128085464
0.704598057,0.21659232
0.275230867,0.193176589
0.392489688,0.317308194
0.353900046,0.241259913
0.760147269,0.294420899
0.454352834,0.326018756
0.51077092,0.249629668
0.496752064,0.294602694
0.552332781,0.262992068
0.435311597,0.268537634
0.820056422,0.261307561
0.386851122,0.309576141
0.449116388,0.279853032
0.586035854,0.199550341
0.501190315,0.215765856
0.365481207,0.199585639
0.387243826,0.204296798
0.642625155,0.250525458
0.454581336,0.298225832
0.929275829,0.168070713
0.321140335,0.250211321
0.811265522,0.321506631
0.154052782,0.223215466
0.673107785,0.311101012
0.146640587,0.295498179
0.265146157,0.247368774
0.074021898,0.280406774
0.387584174,0.276575954
0.950195669,0.280980146
0.349951544,0.24479903
0.143092506,0.213301365
1.057956607,0.249471505
0.144620622,0.242485449
0.487106095,0.256701174
0.423030913,0.236221459
0.278439613,0.265325525
