lambda_slow,p_fast
0.836451429,0.207337208
0.821629815,0.158839228
0.605926028,0.254851836
0.76541857,0.209263716
0.676417458,0.17883396
0.775979609,0.229208886
0.637411035,0.193683497
0.614213235,0.26953067
0.745272613,0.239615173
0.744713182,0.179768401
0.666938178,0.192882388
0.805478049,0.211173283
0.881157446,0.188004608
0.71520395,0.199148585
0.640314815,0.225575112
0.675705985,0.241440256
0.668289981,0.130777437
0.701126374,0.233899011
0.588806335,0.263961526
0.633408692,0.21699263
0.786599438,0.234043855
0.717298272,0.160223975
0.630696424,0.247691737
0.758679082,0.170857594
0.656883307,0.253198891
0.6912898,0.211585783
0.805794664,0.230997847
0.637214081,0.214246532
0.779474733,0.211764535
0.74953371,0.227829635
0.747929271,0.212088912
0.795049816,0.186864396
0.689479872,0.170890079
0.733377774,0.209572978
0.684245855,0.240483055
0.694027763,0.235373761
0.685703178,0.189958322
0.715475316,0.183320594
0.872961447,0.224052609
0.742745155,0.258058724
0.723057525,0.200193165
0.714773365,0.231619768
0.616771656,0.185889341
0.739363864,0.245469372
0.971941548,0.165941324
0.659614559,0.204302124
0.634638223,0.259310634
0.787788152,0.220774182
0.865653087,0.199744416
0.752536664,0.173855204
0.65342218,0.232703322
0.7132627,0.183593522
0.695394383,0.183347115
0.741022499,0.187352151
0.761770453,0.187011071
0.744842805,0.231889092
0.86913758,0.171132148
0.765184028,0.182981984
0.662797351,0.262098721
0.684923532,0.162611733
0.689255014,0.169447767
0.746963649,0.18763083
0.687752369,0.173064503
0.752602347,0.20129832
0.707936296,0.19945811
0.620368098,0.191721391
0.762806731,0.190559051
0.695795589,0.28438245
0.791863519,0.172656275
0.809986592,0.167768727
0.720174459,0.188209214
0.775037389,0.156355373
0.657239503,0.199018348
0.885639455,0.165855491
0.748522821,0.257607791
0.590098446,0.186215424
0.759046351,0.252727597
0.842718328,0.209812933
0.746599637,0.195163554
0.745938116,0.215243719
0.810864701,0.154158265
0.893195463,0.225739711
0.603509489,0.193698537
0.76773358,0.19167237
0.662303656,0.239640999
0.599035363,0.280126977
0.784650984,0.217889972
0.731210381,0.18464627
0.684697996,0.184566092
0.716713766,0.273653055
0.608895871,0.22203808
0.81192864,0.155782122
0.654358314,0.268890718
0.711945537,0.238982996
0.663784664,0.237709404
0.686471272,0.207572321
0.741839065,0.190015268
0.735860112,0.180733491
0.74170498,0.212953361
0.797739475,0.210497062
0.668811493,0.265039407
0.653321096,0.230754854
0.709233243,0.205409669
0.707050361,0.227905236
0.713922537,0.153054989
0.736911721,0.197039048
0.701316222,0.194395947
0.708973092,0.218180754
0.752377817,0.190224605
0.696653437,0.205089431
0.718751337,0.207976051
0.684708627,0.265506538
0.707052639,0.203516591
0.620479355,0.197786803
0.654025155,0.245025964
0.705201193,0.179244752
0.695712678,0.173951195
0.880089177,0.174352838
0.686811154,0.194699488
0.771249395,0.226062379
0.689335931,0.224316457
0.717444933,0.220715678
0.768528636,0.220361634
0.675490711,0.230317873
0.688257058,0.219213708
0.572304139,0.169399298
0.706792397,0.213658953
0.730073623,0.216390542
0.709780609,0.219421403
0.718220591,0.228838981
0.766775408,0.22836089
0.684944731,0.245790044
0.657143372,0.180154006
0.637623279,0.190668226
0.791157806,0.203094588
0.710483588,0.214040452
0.787813194,0.18652863
0.663856769,0.162858657
0.735096571,0.242413628
0.721349397,0.205292773
0.69540606,0.160007335
0.670181921,0.227382197
0.685859283,0.182778923
0.713274235,0.237829991
0.832177671,0.182101547
0.696754565,0.245396583
0.710451599,0.219481846
0.754888535,0.220197641
0.607061286,0.18701711
0.686313386,0.205190665
0.752010062,0.195936678
0.72928173,0.221433901
0.724964221,0.184149882
0.736866852,0.220516099
0.675114675,0.181576377
0.687155362,0.237863194
0.646983124,0.228907989
0.692731973,0.199135101
0.767355272,0.203767939
0.863661713,0.231628957
0.811532394,0.215203717
0.745940061,0.209504828
0.705643661,0.131148806
0.735110175,0.269515609
0.680790488,0.152382305
0.69905088,0.191924481
0.599530935,0.155395955
0.818440552,0.182652567
0.653215938,0.19619814
0.845647664,0.208809748
0.719513934,0.216868687
0.691523384,0.243102854
0.759106989,0.205377093
0.628622245,0.271029721
0.830415527,0.244977807
0.626169639,0.246852126
0.732374569,0.198194572
0.748038725,0.23117997
0.627085006,0.230911799
0.800504487,0.235199054
0.662925088,0.228759749
0.738310964,0.216538492
0.791076708,0.17778702
0.661861041,0.197496662
0.728815733,0.197104509
0.703443199,0.175074963
0.790501146,0.220057879
0.810682977,0.246814552
0.754322989,0.164354334
0.698872459,0.190610357
0.687297701,0.186391685
0.685032853,0.165575894
0.639555033,0.208004124
0.691470052,0.202088282
0.76231187,0.178323113
0.671305221,0.234667648
0.664442268,0.252696127
0.756834961,0.19968713
0.741885336,0.206682512
0.642710882,0.189394334
0.765549849,0.251879181
0.699814463,0.207658726
0.765763873,0.204719807
0.68721105,0.19439234
0.729360209,0.180862876
0.806522408,0.193534471
0.682128268,0.236860706
0.655878799,0.222835457
0.720144274,0.218209909
0.802704595,0.149604178
0.833352456,0.189892669
0.742275412,0.176919855
0.704400462,0.231087384
0.771294605,0.192678269
0.813535366,0.213602453
0.697311199,0.165374438
0.718880375,0.229374088
0.771082186,0.237630346
0.744743879,0.178580316
0.690808088,0.194634895
0.672415178,0.254715746
0.65422179,0.242078723
0.810673497,0.180524059
0.762377977,0.220421809
0.849735083,0.178630911
0.706999139,0.230469383
0.780215341,0.239712333
0.689633406,0.225591048
0.758906457,0.20665708
0.70060109,0.189250941
0.641871727,0.237459578
0.958029963,0.222123071
0.639175835,0.225379622
0.654884428,0.185441089
0.75700268,0.235467134
0.739770345,0.183372544
0.869598497,0.214078943
0.613222377,0.244134055
0.73539454,0.259243181
0.769162705,0.205116825
0.787507063,0.221477713
