,15 to 19,20 to 24,25 to 34,35 to 44
2000,1782900,1750200,4353400,4380000
2001,1486534,1492256,3590962,3726379
2002,1510110,1529367,3508406,3796990
2003,1551263,1563530,3443777,3840799
2004,1580533,1594161,3401940,3884214
2005,1603340,1639191,3421382,3910379
2006,1615611,1676515,3421005,3928202
2007,1633703,1703376,3424482,3931265
2008,1636675,1734272,3450465,3897508
2009,1644314,1739519,3481470,3853413
2010,1633924,1752004,3538156,3794017
2011,1623209,1780713,3595171,3726280
2012,1600686,1788156,3643189,3657488
2013,1584088,1774376,3694976,3600040
2014,1572189,1769057,3720081,3570205
2015,1562775,1759789,3740733,3571590
