,15 to 19,20 to 24,25 to 34,35 to 44
2000,1849600,1756500,4292600,4298200
2001,1558466,1494328,3580068,3680506
2002,1593889,1526132,3500570,3757805
2003,1624409,1561812,3433242,3805771
2004,1638039,1612443,3387008,3832278
2005,1644949,1654536,3395099,3868454
2006,1675418,1678832,3394391,3879012
2007,1698863,1715740,3404257,3879051
2008,1700494,1731133,3448486,3852496
2009,1710701,1726548,3482400,3804869
2010,1709207,1763534,3524521,3742290
2011,1701061,1815548,3591206,3677575
2012,1685620,1833395,3623605,3608581
2013,1670664,1829362,3672381,3559027
2014,1658765,1837360,3705510,3533203
2015,1650514,1832468,3745263,3535782
